step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
256,TRANSFER,191815.98,C2142065893,0.0,0.0,C1161182025,284455.99,476271.96,0
349,CASH_OUT,229414.79,C188037642,33491.0,0.0,C1239596902,2165392.27,2394807.05,0
307,CASH_OUT,174207.61,C324781158,50032.0,0.0,C2105032119,21820383.58,21994591.19,0
132,CASH_OUT,265041.05,C1078952834,22242.0,0.0,C246407868,147112.2,412153.25,0
574,TRANSFER,58863.89,C1649037642,58863.89,0.0,C1806065948,0.0,0.0,1
182,PAYMENT,2400.86,C1862780979,221334.49,218933.63,M669503563,0.0,0.0,0
398,PAYMENT,26295.91,C2032258806,147947.0,121651.09,M1272633895,0.0,0.0,0
382,TRANSFER,309049.05,C2091762654,10382.0,0.0,C591545668,0.0,309049.05,0
156,CASH_OUT,134480.53,C1168661044,0.0,0.0,C1220025796,1789352.47,1923833.0,0
281,TRANSFER,237677.25,C464393461,0.0,0.0,C1145601474,691954.96,929632.21,0
120,TRANSFER,746518.21,C1049419908,746518.21,0.0,C713376763,0.0,0.0,1
166,PAYMENT,3965.17,C1854934845,3243.0,0.0,M1802277142,0.0,0.0,0
211,PAYMENT,9114.56,C1507999205,123181.02,114066.45,M767028552,0.0,0.0,0
45,TRANSFER,299961.93,C501465592,0.0,0.0,C451381004,499711.62,799673.55,0
227,CASH_OUT,546463.79,C283725448,20293.0,0.0,C370188458,0.0,546463.79,0
43,CASH_OUT,156145.54,C2043938534,10816.0,0.0,C56165416,1282105.07,1438250.61,0
210,TRANSFER,84896.48,C1981509628,0.0,0.0,C309159111,878458.0,963354.49,0
317,CASH_OUT,7535.58,C2046264393,7535.58,0.0,C592516907,44609.54,52145.11,1
400,CASH_OUT,15538.23,C1806190217,0.0,0.0,C145984198,402358.12,417896.36,0
160,PAYMENT,18042.55,C690783326,173745.53,155702.98,M1626730966,0.0,0.0,0
377,CASH_IN,223223.13,C90138490,2202574.92,2425798.05,C1922095594,325189.69,101966.56,0
59,TRANSFER,394388.09,C1625333778,394388.09,0.0,C940087282,0.0,0.0,1
137,CASH_OUT,147353.47,C308473298,14518.0,0.0,C933645486,62443.47,209796.94,0
324,PAYMENT,9028.5,C595173783,200805.43,191776.92,M1822755260,0.0,0.0,0
4,CASH_OUT,169941.73,C2026325575,169941.73,0.0,C1394526584,0.0,169941.73,1
259,CASH_OUT,103193.42,C1930240236,21360.0,0.0,C972035220,0.0,103193.42,0
358,PAYMENT,11684.63,C1774729670,0.0,0.0,M1994290530,0.0,0.0,0
319,TRANSFER,88424.06,C2132033219,88424.06,0.0,C1378618834,0.0,0.0,1
94,CASH_OUT,51999.07,C909073591,5865.0,0.0,C607087259,175773.26,227772.33,0
138,PAYMENT,14236.39,C565935393,0.0,0.0,M261006497,0.0,0.0,0
435,CASH_OUT,365332.78,C1014077257,365332.78,0.0,C948907509,27185.14,392517.92,1
354,CASH_IN,90104.42,C1910446968,3962230.48,4052334.9,C464859926,412668.2,322563.78,0
284,TRANSFER,233136.57,C1389388140,0.0,0.0,C2032318211,550334.14,783470.71,0
283,PAYMENT,27433.42,C1877714546,36466.5,9033.07,M26037321,0.0,0.0,0
234,CASH_OUT,109781.85,C1846156786,0.0,0.0,C1553848604,12881252.62,12991034.47,0
346,PAYMENT,3380.71,C67802427,138075.48,134694.78,M951903539,0.0,0.0,0
43,CASH_OUT,184009.84,C1152712570,100749.0,0.0,C2135707227,1612962.77,1796972.61,0
34,PAYMENT,5016.08,C1289874776,0.0,0.0,M1222514967,0.0,0.0,0
468,CASH_OUT,1165187.89,C1626151700,1165187.89,0.0,C184686299,0.0,1165187.89,1
180,CASH_IN,54835.03,C130821498,1717665.38,1772500.41,C1268765567,112167.3,57332.28,0
215,CASH_OUT,152975.76,C6242095,0.0,0.0,C1777074653,279928.38,432904.15,0
351,TRANSFER,83690.37,C1408148739,22881.0,0.0,C1704886927,33275.11,116965.49,0
